animeID, name, premiered, genre, type, episodes, studios, source, scored, scoredBy, members, rank, popularity
1,Cowboy Bebop,Spring 1998,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,26,['Sunrise'],Original,8.81,404885,795032,26,39
5,Cowboy Bebop: Tengoku no Tobira,,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Movie,1,['Bones'],Original,8.41,120085,197644,164,449
6,Trigun,Spring 1998,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",TV,26,['Madhouse'],Manga,8.3,212260,408300,255,146
7,Witch Hunter Robin,Summer 2002,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",TV,26,['Sunrise'],Original,7.33,32817,79364,2371,1170
8,Bouken Ou Beet,Fall 2004,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,52,['Toei Animation'],Manga,7.03,4893,11706,3545,3705
15,Eyeshield 21,Spring 2005,"['Action', 'Sports', 'Comedy', 'Shounen']",TV,145,['Studio Gallop'],Manga,8.04,51968,114773,506,842
16,Hachimitsu to Clover,Spring 2005,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",TV,24,['J.C.Staff'],Manga,8.12,57023,172179,419,537
17,Hungry Heart: Wild Striker,Fall 2002,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",TV,52,['Nippon Animation'],Manga,7.67,9304,17137,1186,3123
18,Initial D Fourth Stage,Spring 2004,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",TV,24,['A.C.G.T.'],Manga,8.23,42474,73364,298,1265
19,Monster,Spring 2004,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,74,['Madhouse'],Manga,8.69,131029,394080,49,156
20,Naruto,Fall 2002,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",TV,220,['Studio Pierrot'],Manga,7.9,714959,1090149,705,10
21,One Piece,Fall 1999,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",TV,,['Toei Animation'],Manga,8.53,465054,802991,95,36
22,Tennis no Ouji-sama,Fall 2001,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",TV,178,['Trans Arts'],Manga,8,50272,113611,579,854
23,Ring ni Kakero 1,Fall 2004,"['Action', 'Shounen', 'Sports']",TV,12,['Toei Animation'],Manga,6.54,824,2927,5641,6500
24,School Rumble,Fall 2004,"['Comedy', 'Romance', 'School', 'Shounen']",TV,26,['Studio Comet'],Manga,8.01,105817,226679,558,371
25,Sunabouzu,Fall 2004,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",TV,24,['Gonzo'],Manga,7.5,36147,89761,1678,1050
26,Texhnolyze,Spring 2003,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,22,['Madhouse'],Original,7.78,32150,138403,942,691
27,Trinity Blood,Spring 2005,"['Action', 'Supernatural', 'Vampire']",TV,24,['Gonzo'],Light novel,7.4,61442,137758,2082,695
animeID, name, premiered, genre, type, episodes, studios, source, scored, scoredBy, members, rank, popularity
1,Cowboy Bebop,Spring 1998,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,26,['Sunrise'],Original,8.81,404885,795321,26,39
5,Cowboy Bebop: Tengoku no Tobira,,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Movie,1,['Bones'],Original,8.41,120085,197703,164,449
6,Trigun,Spring 1998,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",TV,26,['Madhouse'],Manga,8.3,212260,408405,255,146
7,Witch Hunter Robin,Summer 2002,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",TV,26,['Sunrise'],Original,7.33,32817,79376,2371,1171
8,Bouken Ou Beet,Fall 2004,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,52,['Toei Animation'],Manga,7.03,4893,11707,3545,3705
animeID, name, premiered, genre, type, episodes, studios, source, scored, scoredBy, members, rank, popularity
1,Cowboy Bebop,Spring 1998,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,26,['Sunrise'],Original,8.81,404885,795321,26,39
